datetime,SHOP_Open,SHOP_High,SHOP_Low,SHOP_Close,SHOP_Volume,SHOP_sma8,SHOP_sma21,SHOP_sma50,SHOP_sma200,SHOP_sma300,SHOP_ema8,SHOP_ema20,SHOP_ema50,SHOP_ema200,SHOP_rsi,SHOP_macd,SHOP_stoch,SHOP_stochrsi,SHOP_vwap,SHOP_bb_hband,SHOP_bb_mavg,SHOP_bb_lband,SHOP_aroon_up,SHOP_aroon_down,SHOP_atr,SHOP_cmf,SHOP_roc,SHOP_uo,SHOP_tsi,SHOP_obv,SHOP_adi,SHOP_dcu,SHOP_dcm,SHOP_dcl,SHOP_kcu,SHOP_kcm,SHOP_kcl
2021-11-11 12:30:00,150.5,151.18,150.0,150.18,39624,149.0475,151.66761904761907,152.226,147.0779750726121,146.19983589011434,149.93726179404257,150.93798319712735,151.14597599098437,147.0779750726121,46.6990571422846,0.955708306320048,36.593785960874655,0.5258194205172694,149.74457580764786,156.9668525387736,151.47650000000002,145.98614746122644,4.0,72.0,2.226355220717448,-0.851593949494593,1.886024423337857,36.871537191217996,-9.668399036374655,2099531449,1899465270.318957,156.31,151.655,147.0,153.86683333333332,151.77183333333332,149.67683333333335
2021-11-11 13:30:00,150.35,150.35,149.76,150.12,78720,149.4,151.41190476190476,152.3048,147.10824397736224,146.22588349217338,149.97787028425535,150.86008003549617,151.10574163839675,147.10824397736224,46.52807874611684,0.8969761537144336,41.65554072096129,0.8716679422085117,149.71328860759706,156.69797189341966,151.29000000000002,145.88202810658038,4.0,68.0,2.1094727049519166,-0.8537124663066907,-1.5089883217425424,34.30031783560569,-9.364359487209766,2099452729,1899482615.403703,156.19,151.595,147.0,153.48133333333334,151.57333333333332,149.6653333333333
2021-11-11 14:30:00,150.08,150.38,149.6,149.64,64347,149.56124999999997,151.21142857142857,152.3554,147.13343557957754,146.24856865169383,149.90278799886528,150.74388193687747,151.0482615741459,147.13343557957754,45.10530633953913,0.8790295822574308,35.24699599465932,0.696033763111878,149.8024023420375,156.06351101744008,150.992,145.9204889825599,4.0,64.0,2.0145103688839225,-0.8633059081557893,-1.7659029738068839,37.239833105668886,-9.465534358742461,2099388382,1899424868.0960107,156.19,151.595,147.0,153.14866666666666,151.30466666666666,149.46066666666667
2021-11-11 15:30:00,149.73,149.8,149.02,149.1,74225,149.7675,150.90190476190477,152.3972,147.1530033847559,146.26751503939022,149.7243906657841,150.58732175241295,150.97185915947352,147.1530033847559,43.493968680638304,0.8980283700645657,35.95890410958892,0.549392572482216,149.72975594694057,155.63450102020144,150.7335,145.83249897979854,36.0,60.0,1.9263310568207854,-0.8633329109575905,-2.0753973466438964,30.29649681713379,-9.962549373858963,2099314157,1899365868.7370362,155.69,151.345,147.0,152.80416666666667,151.02816666666666,149.25216666666668
2021-11-12 00:00:00,152.1,167.48,151.0,166.95,28396000,152.00750000000002,151.5057142857143,152.7464,147.3499884257036,146.40494018863012,153.55230385116542,152.14567206170696,151.59845291792556,147.3499884257036,75.12621201036765,-0.521252105243974,97.412109375,1.0,159.5689188688389,159.95403530504856,151.4,142.84596469495145,100.0,56.00000000000001,3.101593124190729,0.34813735977688715,11.026135532353518,70.5664616623175,4.511264594057255,2127710157,1925935426.9894633,167.48,157.24,147.0,153.96166666666667,151.42166666666668,148.88166666666666
2021-11-12 09:30:00,152.1,160.5,151.0,159.67,923409,153.24124999999998,151.7938095238095,152.9492,147.47257560554735,146.49308012093158,154.9117918842398,152.86227472249678,151.91498417604612,147.47257560554735,60.299996295685204,-1.0465430519359415,61.865234374999964,0.6011873240056896,159.51295293658234,160.84145093012785,151.65050000000002,142.4595490698722,96.0,52.0,4.019336472462819,0.3584399520458095,8.397827562796996,65.3420005025259,8.526768015206782,2126786748,1926697482.4168317,167.48,157.24,147.0,154.4895,151.549,148.6085
2021-11-12 10:30:00,159.55,162.9,159.26,161.9,412413,154.7375,152.13857142857142,153.106,147.6161320671837,146.59545168158985,156.4647270210754,153.72301046321138,152.3065534240443,147.6161320671837,62.726585017303016,-1.624061109293649,72.75390625000006,0.6664605103824157,159.55062881828843,162.15942472759454,152.00799999999998,141.85657527240542,92.0,48.0,3.9922410101440478,0.3596604614540614,9.13380519042805,66.43521937070084,12.36503979249659,2127199161,1926883294.867381,167.48,157.24,147.0,154.97566666666665,151.87966666666665,148.78366666666665
2021-11-12 11:30:00,161.9,162.84,160.97,161.5,240783,156.1325,152.45999999999998,153.2772,147.75428000681373,146.69448522523376,157.58367657194754,154.46367613338174,152.66708074074845,147.75428000681373,61.99460481486586,-2.026115870935172,70.80078125000003,0.6349761595452863,159.6072774438607,163.17011777632257,152.302,141.43388222367741,88.0,44.0,3.8406523665623307,0.35438228636937724,9.528653780942701,67.01762908540255,14.731038335832874,2126958378,1926778998.487702,167.48,157.24,147.0,155.34333333333333,152.20033333333336,149.05733333333336
2021-11-12 12:30:00,161.42,164.0,161.38,163.71,235113,157.82375000000002,152.8452380952381,153.5168,147.91304338983053,146.8075451240694,158.94508177818142,155.344278406393,153.10013639797398,147.91304338983053,64.46210055074846,-2.4943226970539456,81.26242544731618,0.7035659944686176,159.66399942834767,164.80845355392452,153.1175,141.4265464460755,84.0,40.0,3.753462911807879,0.5913269428752624,9.850365698181578,67.99623649229035,17.470178895193268,2127193491,1926962063.5716712,167.48,157.24,147.0,155.76983333333334,152.87033333333335,149.97083333333333
2021-11-12 13:30:00,163.7,164.38,163.36,163.84,162859,159.53875,153.62809523809523,153.75119999999998,148.07152057003125,146.9207175817168,160.03284138303,156.1533947486413,153.52130751962207,148.07152057003125,64.60766527190802,-2.843096447465456,80.30303030303037,0.6674738927360916,159.71608138539628,166.26909342797555,153.6885,141.10790657202446,80.0,36.0,3.5582155609644572,0.5924648194342486,9.372496662216284,68.73717805262228,19.55257674307799,2127356350,1926952483.6304948,167.48,157.24,147.0,156.2278333333333,153.42133333333334,150.61483333333334
